run,strategy,part,x_mm,y_mm,angle,fill_pct,waste_mm2
0,area,0,0.000,0.000,0,12.895,2722023.933
0,area,1,300.000,0.000,0,12.895,2722023.933
0,area,2,600.000,0.000,0,12.895,2722023.933
0,area,3,900.000,0.000,0,12.895,2722023.933
0,area,4,0.000,36.014,0,12.895,2722023.933
0,area,5,300.000,36.014,0,12.895,2722023.933
0,area,6,600.000,36.014,0,12.895,2722023.933
0,area,7,900.000,36.014,0,12.895,2722023.933
0,area,8,0.000,72.029,0,12.895,2722023.933
0,area,165,1200.000,0.000,0,12.895,2722023.933
0,area,10,300.000,72.029,0,12.895,2722023.933
0,area,11,600.000,72.029,0,12.895,2722023.933
0,area,12,900.000,72.029,0,12.895,2722023.933
0,area,15,0.000,108.043,0,12.895,2722023.933
0,area,16,300.000,108.043,0,12.895,2722023.933
0,area,17,600.000,108.043,0,12.895,2722023.933
0,area,18,900.000,108.043,0,12.895,2722023.933
0,area,19,0.000,144.058,0,12.895,2722023.933
0,area,13,300.000,144.058,0,12.895,2722023.933
0,area,14,600.000,144.058,0,12.895,2722023.933
0,area,22,1200.000,144.058,110,12.895,2722023.933
0,area,23,900.000,144.058,0,12.895,2722023.933
0,area,24,973.000,144.058,0,12.895,2722023.933
0,area,26,1046.000,224.558,280,12.895,2722023.933
0,area,28,300.000,180.072,110,12.895,2722023.933
0,area,29,600.000,180.072,110,12.895,2722023.933
0,area,30,900.000,180.072,110,12.895,2722023.933
0,area,31,300.000,248.670,270,12.895,2722023.933
0,area,32,600.000,248.670,270,12.895,2722023.933
0,area,34,380.500,248.670,290,12.895,2722023.933
0,area,20,680.500,248.670,290,12.895,2722023.933
0,area,35,1131.963,225.357,310,12.895,2722023.933
0,area,21,0.000,180.072,0,12.895,2722023.933
0,area,33,73.000,180.072,0,12.895,2722023.933
0,area,36,146.000,260.572,280,12.895,2722023.933
0,area,37,900.000,224.558,340,12.895,2722023.933
0,area,38,1131.963,225.357,100,12.895,2722023.933
0,area,39,1046.000,224.558,70,12.895,2722023.933
0,area,40,380.500,248.670,100,12.895,2722023.933
0,area,41,680.500,248.670,100,12.895,2722023.933
0,area,42,294.537,247.870,80,12.895,2722023.933
0,area,43,594.537,247.870,80,12.895,2722023.933
0,area,44,521.251,320.561,180,12.895,2722023.933
0,area,45,810.487,248.670,80,12.895,2722023.933
0,area,46,823.163,248.670,330,12.895,2722023.933
0,area,47,0.000,260.572,340,12.895,2722023.933
0,area,48,1222.471,257.353,80,12.895,2722023.933
0,area,49,231.963,261.372,100,12.895,2722023.933
0,area,50,380.500,257.036,0,12.895,2722023.933
0,area,51,146.000,260.572,70,12.895,2722023.933
0,area,52,1070.967,301.522,330,12.895,2722023.933
0,area,53,976.965,289.103,80,12.895,2722023.933
0,area,54,1070.967,301.522,100,12.895,2722023.933
0,area,55,906.523,303.216,80,12.895,2722023.933
0,area,56,294.537,320.561,80,12.895,2722023.933
0,area,57,380.500,320.561,80,12.895,2722023.933
0,area,58,594.537,320.561,80,12.895,2722023.933
0,area,25,680.500,320.561,80,12.895,2722023.933
0,area,27,521.251,393.252,180,12.895,2722023.933
0,area,59,693.176,393.252,270,12.895,2722023.933
0,area,60,76.965,325.118,80,12.895,2722023.933
0,area,61,1235.147,330.044,80,12.895,2722023.933
0,area,62,823.163,321.361,60,12.895,2722023.933
0,area,63,231.963,333.263,80,12.895,2722023.933
0,area,64,158.676,333.263,90,12.895,2722023.933
0,area,65,1154.327,356.068,80,12.895,2722023.933
0,area,68,989.641,361.795,80,12.895,2722023.933
0,area,69,1002.317,361.795,350,12.895,2722023.933
0,area,70,1200.000,135.691,270,12.895,2722023.933
0,area,71,1239.495,135.691,80,12.895,2722023.933
0,area,72,380.500,337.536,30,12.895,2722023.933
0,area,73,307.214,393.252,0,12.895,2722023.933
0,area,74,521.251,393.252,0,12.895,2722023.933
0,area,75,622.864,393.252,0,12.895,2722023.933
0,area,76,724.478,393.252,0,12.895,2722023.933
0,area,77,307.214,432.747,180,12.895,2722023.933
0,area,78,521.251,432.747,170,12.895,2722023.933
0,area,79,3.678,397.809,0,12.895,2722023.933
0,area,80,916.354,434.486,170,12.895,2722023.933
0,area,81,158.676,405.954,0,12.895,2722023.933
0,area,82,158.676,445.449,170,12.895,2722023.933
0,area,83,1081.041,428.760,0,12.895,2722023.933
0,area,66,1081.041,428.760,80,12.895,2722023.933
0,area,67,408.827,432.747,100,12.895,2722023.933
0,area,84,205.600,432.747,0,12.895,2722023.933
0,area,85,521.251,432.747,0,12.895,2722023.933
0,area,86,622.864,432.747,0,12.895,2722023.933
0,area,87,724.478,432.747,0,12.895,2722023.933
0,area,88,408.827,431.947,10,12.895,2722023.933
0,area,89,3.678,437.304,0,12.895,2722023.933
0,area,90,913.421,438.294,350,12.895,2722023.933
0,area,91,155.743,449.258,10,12.895,2722023.933
0,area,92,1247.824,402.735,90,12.895,2722023.933
0,area,93,506.135,474.688,350,12.895,2722023.933
0,area,94,916.354,474.125,170,12.895,2722023.933
0,area,95,151.890,491.999,180,12.895,2722023.933
0,area,96,1007.754,501.451,180,12.895,2722023.933
0,area,97,610.303,470.879,0,12.895,2722023.933
0,area,98,711.917,470.879,0,12.895,2722023.933
0,area,99,404.974,474.688,0,12.895,2722023.933
0,area,100,826.091,472.242,10,12.895,2722023.933
0,area,101,1208.328,504.349,180,12.895,2722023.933
0,area,102,3.678,476.800,0,12.895,2722023.933
0,area,103,322.864,504.638,160,12.895,2722023.933
0,area,104,1007.754,501.451,0,12.895,2722023.933
0,area,105,1109.368,501.451,0,12.895,2722023.933
0,area,106,322.864,504.638,0,12.895,2722023.933
0,area,107,105.292,516.295,340,12.895,2722023.933
0,area,108,610.303,510.375,0,12.895,2722023.933
0,area,109,711.917,510.375,0,12.895,2722023.933
0,area,110,509.068,510.519,10,12.895,2722023.933
0,area,111,822.239,514.983,0,12.895,2722023.933
0,area,112,3.678,516.295,0,12.895,2722023.933
0,area,113,219.306,524.449,0,12.895,2722023.933
0,area,114,1007.754,540.946,0,12.895,2722023.933
0,area,115,1007.754,540.946,180,12.895,2722023.933
0,area,116,906.141,540.946,0,12.895,2722023.933
0,area,117,505.216,553.260,170,12.895,2722023.933
0,area,118,219.306,563.945,170,12.895,2722023.933
0,area,119,1109.368,540.946,0,12.895,2722023.933
0,area,120,1224.080,0.000,0,12.895,2722023.933
0,area,121,1224.080,27.995,0,12.895,2722023.933
0,area,122,470.013,180.072,80,12.895,2722023.933
0,area,170,770.013,180.072,70,12.895,2722023.933
0,area,177,474.172,204.188,270,12.895,2722023.933
0,area,9,505.216,553.260,0,12.895,2722023.933
0,area,179,1200.000,27.995,110,12.895,2722023.933
0,area,123,1169.450,23.642,90,12.895,2722023.933
0,area,124,778.205,180.131,350,12.895,2722023.933
0,area,125,502.168,204.188,70,12.895,2722023.933
0,area,126,802.321,205.645,90,12.895,2722023.933
0,area,127,981.454,224.558,0,12.895,2722023.933
0,area,128,823.163,248.670,190,12.895,2722023.933
0,area,129,799.494,248.647,160,12.895,2722023.933
0,area,130,294.537,247.870,210,12.895,2722023.933
0,area,131,302.769,217.335,220,12.895,2722023.933
0,area,132,510.359,231.169,0,12.895,2722023.933
0,area,133,1149.185,257.353,160,12.895,2722023.933
0,area,134,823.163,248.670,60,12.895,2722023.933
0,area,135,680.500,257.036,80,12.895,2722023.933
0,area,136,684.659,257.082,0,12.895,2722023.933
