run,strategy,part,x_mm,y_mm,angle,fill_pct,waste_mm2
0,area,0,0.000,0.000,0,1.986,3062945.938
0,area,1,24.080,27.995,270,1.986,3062945.938
0,area,2,52.075,27.995,270,1.986,3062945.938
0,area,3,80.071,27.995,270,1.986,3062945.938
0,area,4,108.066,27.995,270,1.986,3062945.938
0,area,5,136.061,3.915,0,1.986,3062945.938
0,area,6,209.061,84.415,270,1.986,3062945.938
0,area,7,289.561,84.415,270,1.986,3062945.938
0,area,8,370.061,84.415,270,1.986,3062945.938
0,area,9,450.561,84.415,260,1.986,3062945.938
0,area,10,523.848,11.724,350,1.986,3062945.938
0,area,11,628.016,7.915,350,1.986,3062945.938
0,area,12,732.184,4.107,350,1.986,3062945.938
0,area,13,836.352,0.298,0,1.986,3062945.938
0,area,14,937.966,0.298,0,1.986,3062945.938
0,area,15,1039.579,0.298,0,1.986,3062945.938
0,area,16,1339.579,0.298,0,1.986,3062945.938
0,area,17,1639.579,0.298,0,1.986,3062945.938
0,area,18,1939.579,0.298,0,1.986,3062945.938
0,area,19,1039.579,36.312,0,1.986,3062945.938
